trialID,analysisVar,varType,stabilityThreshold,mean,sd,median,min,max,ci95
runT45,knee_angle_r,1D,0.5,18.428571428571427,6.3943533763814475,19,5,33,2.3685016360560107
runT45,knee_angle_r,0D,0.75,6.464285714285714,7.153830856147449,3,2,23,2.649816031350101
runT45,knee_angle_r,1D,0.75,10.607142857142858,5.918127634132062,10,3,25,2.192105152587348
runT45,knee_angle_r,0D,1.0,4.785714285714286,5.1502922445315305,2,2,21,1.9076949441669124
runT45,knee_angle_r,1D,1.0,6.75,4.925335376543264,5,2,20,1.8243697541891009
runT45,ankle_angle_r,0D,0.25,19.142857142857142,8.692008997243576,20,4,34,3.219565188033937
runT45,ankle_angle_r,1D,0.25,32.92857142857143,4.0082822418852,33,26,41,1.4846885195218558
runT45,ankle_angle_r,0D,0.5,6.75,5.660798782605053,4,2,20,2.096789212105022
runT45,ankle_angle_r,1D,0.5,21.071428571428573,5.515747400647995,21,10,33,2.0430614283471757
runT45,ankle_angle_r,0D,0.75,3.7142857142857144,2.9137254363387344,2,2,12,1.0792590050585633
runT45,ankle_angle_r,1D,0.75,12.892857142857142,5.537787630158337,13,2,24,2.0512252436044167
runT45,ankle_angle_r,0D,1.0,2.7142857142857144,1.7083229633001995,2,2,10,0.6327716807822548
runT45,ankle_angle_r,1D,1.0,7.571428571428571,4.776643856371568,7,2,21,1.7692936443677176
